date,month,blood_type,available_units,previous_day_stock,donated_units,requested_units,donor_count,hospital_requests,emergency_cases,is_holiday,special_event,shortage
2024-01-07,1,A-,2,54,5,57,4,2,15,1,1,1
2024-01-07,1,B+,0,40,4,79,4,4,17,1,1,1
2024-01-07,1,B-,0,49,4,55,4,8,13,1,1,1
2024-01-07,1,AB+,0,25,10,48,6,8,15,1,1,1
2024-01-07,1,AB-,55,72,7,24,5,1,6,1,1,0
2024-01-07,1,O+,0,51,6,57,6,6,4,1,1,1
2024-01-07,1,O-,9,69,5,65,1,9,10,1,1,1
2024-01-08,1,A+,0,60,12,76,12,6,1,0,0,1
2024-01-08,1,A-,12,64,16,68,16,7,1,0,0,1
2024-01-08,1,B+,40,37,21,18,21,4,6,0,0,0
2024-01-08,1,B-,15,44,30,59,30,2,17,0,0,1
2024-01-08,1,AB+,83,60,47,24,44,3,10,0,0,0
2024-01-08,1,AB-,0,37,21,64,17,4,18,0,0,1
2024-01-08,1,O+,70,92,37,59,37,3,11,0,0,0
2024-01-08,1,O-,22,44,20,42,19,1,7,0,0,1
2024-01-09,1,A+,27,45,20,38,20,3,10,0,0,1
2024-01-09,1,A-,41,65,40,64,39,2,7,0,0,1
2024-01-09,1,B+,0,66,17,83,15,3,14,0,0,1
2024-01-09,1,B-,18,38,30,50,26,6,18,0,0,1
2024-01-09,1,AB+,74,92,32,50,32,2,15,0,0,0
2024-01-09,1,AB-,57,54,36,33,34,7,1,0,0,0
2024-01-09,1,O+,12,46,17,51,15,8,4,0,0,1
2024-01-09,1,O-,23,56,35,68,33,9,11,0,0,1
2024-01-10,1,A+,20,37,47,64,46,9,15,0,0,1
2024-01-10,1,A-,27,24,33,30,30,8,3,0,0,1
2024-01-10,1,B+,0,26,24,64,22,9,12,0,0,1
2024-01-10,1,B-,30,38,31,39,31,1,19,0,0,1
2024-01-10,1,AB+,31,39,42,50,40,8,10,0,0,1
2024-01-10,1,AB-,0,45,43,95,41,8,16,0,0,1
2024-01-10,1,O+,0,55,19,85,19,4,6,0,0,1
2024-01-10,1,O-,39,43,27,31,25,2,12,0,0,0
2024-01-11,1,A+,71,71,22,22,18,2,2,0,0,0
2024-01-11,1,A-,65,97,38,70,35,2,10,0,0,1
2024-01-11,1,B+,32,33,17,18,13,2,1,0,0,0
2024-01-11,1,B-,29,64,23,58,22,6,12,0,0,1
2024-01-11,1,AB+,0,38,19,83,17,4,6,0,0,1
2024-01-11,1,AB-,51,74,49,72,46,5,14,0,0,1
2024-01-11,1,O+,43,86,18,61,18,8,2,0,0,1
2024-01-11,1,O-,82,76,33,27,30,4,14,0,0,0
2024-01-12,1,A+,23,34,35,46,34,9,1,1,0,1
2024-01-12,1,A-,6,82,17,93,17,7,14,1,0,1
2024-01-12,1,B+,89,85,41,37,39,5,2,1,0,0
2024-01-12,1,B-,115,96,39,20,37,2,4,1,0,0
2024-01-12,1,AB+,101,84,42,25,39,6,0,1,0,0
2024-01-12,1,AB-,89,64,44,19,43,6,0,1,0,0
2024-01-12,1,O+,10,35,20,45,16,9,17,1,0,1
2024-01-12,1,O-,46,38,49,41,45,2,5,1,0,0
2024-01-13,1,A+,16,23,39,46,39,6,15,1,0,1
2024-01-13,1,A-,16,21,49,54,45,2,9,1,0,1
2024-01-13,1,B+,6,55,17,66,17,5,7,1,0,1
2024-01-13,1,B-,75,71,36,32,35,7,2,1,0,0
2024-01-13,1,AB+,45,78,47,80,46,2,13,1,0,1
2024-01-13,1,AB-,45,37,44,36,41,5,17,1,0,0
2024-01-13,1,O+,54,64,22,32,19,6,0,1,0,0
2024-01-13,1,O-,24,23,31,30,29,6,14,1,0,1
2024-01-14,1,A+,12,53,27,68,24,5,0,1,0,1
2024-01-14,1,A-,61,83,14,36,14,4,7,1,0,0
2024-01-14,1,B+,68,94,45,71,42,5,7,1,0,1
2024-01-14,1,B-,59,54,45,40,44,7,5,1,0,0
2024-01-14,1,AB+,71,85,53,67,49,4,12,1,0,0
2024-01-14,1,AB-,58,78,14,34,14,8,3,1,0,0
2024-01-14,1,O+,98,85,34,21,30,8,1,1,0,0
2024-01-14,1,O-,43,63,18,38,16,6,5,1,0,0
2024-01-15,1,A+,0,26,17,75,16,9,5,0,0,1
2024-01-15,1,A-,25,78,42,95,39,7,17,0,0,1
2024-01-15,1,B+,10,37,47,74,47,1,5,0,0,1
2024-01-15,1,B-,13,41,18,46,14,5,6,0,0,1
2024-01-15,1,AB+,51,77,36,62,36,5,1,0,0,1
2024-01-15,1,AB-,39,40,17,18,17,1,3,0,0,0
2024-01-15,1,O+,74,59,46,31,43,6,19,0,0,0
2024-01-15,1,O-,45,63,26,44,24,6,11,0,0,0
2024-01-16,1,A+,23,54,17,48,17,3,19,0,0,1
2024-01-16,1,A-,26,91,10,75,10,4,17,0,0,1
2024-01-16,1,B+,24,58,13,47,11,9,16,0,0,1
2024-01-16,1,B-,47,27,46,26,42,2,13,0,0,0
2024-01-16,1,AB+,61,40,41,20,40,1,1,0,0,0
2024-01-16,1,AB-,56,86,20,50,20,6,13,0,0,0
2024-01-16,1,O+,73,65,51,43,49,2,14,0,0,0
2024-01-16,1,O-,15,78,24,87,21,5,12,0,0,1
2024-01-17,1,A+,21,22,40,41,36,4,8,0,0,1
2024-01-17,1,A-,50,67,13,30,13,1,7,0,0,0
2024-01-17,1,B+,0,20,24,52,21,9,4,0,0,1
2024-01-17,1,B-,57,78,39,60,37,7,15,0,0,1
2024-01-17,1,AB+,17,36,29,48,28,9,12,0,0,1
2024-01-17,1,AB-,30,77,30,77,28,5,19,0,0,1
2024-01-17,1,O+,0,60,19,84,15,8,19,0,0,1
2024-01-17,1,O-,12,36,12,36,10,4,0,0,0,1
2024-01-18,1,A+,27,76,19,68,17,8,12,0,0,1
2024-01-18,1,A-,42,94,19,71,16,9,10,0,0,1
2024-01-18,1,B+,33,27,51,45,47,8,3,0,0,1
2024-01-18,1,B-,52,99,30,77,28,9,2,0,0,1
2024-01-18,1,AB+,58,65,15,22,13,2,3,0,0,0
2024-01-18,1,AB-,33,93,33,93,32,8,14,0,0,1
2024-01-18,1,O+,40,37,25,22,23,2,8,0,0,0
2024-01-18,1,O-,84,83,32,31,31,6,19,0,0,0
2024-01-19,1,A+,0,30,14,51,12,6,11,1,0,1
2024-01-19,1,A-,2,46,19,63,16,9,5,1,0,1
2024-01-19,1,B+,74,88,18,32,14,9,5,1,0,0
2024-01-19,1,B-,21,73,32,84,29,1,7,1,0,1
2024-01-19,1,AB+,58,66,19,27,17,1,2,1,0,0
2024-01-19,1,AB-,2,26,24,48,24,3,10,1,0,1
2024-01-19,1,O+,70,49,38,17,35,2,4,1,0,0
2024-01-19,1,O-,15,35,25,45,23,1,13,1,0,1
2024-01-20,1,A+,34,96,24,86,23,8,16,1,0,1
2024-01-20,1,A-,40,84,15,59,13,2,3,1,0,1
2024-01-20,1,B+,41,99,28,86,28,4,13,1,0,1
2024-01-20,1,B-,35,81,25,71,25,8,2,1,0,1
2024-01-20,1,AB+,103,77,39,13,39,2,0,1,0,0
2024-01-20,1,AB-,70,81,29,40,25,2,1,1,0,0
2024-01-20,1,O+,0,21,38,80,37,6,9,1,0,1
2024-01-20,1,O-,56,67,22,33,19,2,1,1,0,0
2024-01-21,1,A+,27,72,22,67,20,7,5,1,0,1
2024-01-21,1,A-,0,39,15,71,14,1,12,1,0,1
2024-01-21,1,B+,32,39,29,36,29,7,9,1,0,1
2024-01-21,1,B-,17,77,20,80,18,2,6,1,0,1
2024-01-21,1,AB+,34,53,13,32,10,8,10,1,0,0
2024-01-21,1,AB-,0,47,14,62,11,5,14,1,0,1
2024-01-21,1,O+,63,40,41,18,39,1,3,1,0,0
2024-01-21,1,O-,4,64,32,92,28,7,15,1,0,1
2024-01-22,1,A+,73,76,44,47,40,3,6,0,0,0
2024-01-22,1,A-,19,39,49,69,48,2,4,0,0,1
2024-01-22,1,B+,28,80,15,67,13,6,13,0,0,1
2024-01-22,1,B-,0,64,17,88,13,3,11,0,0,1
2024-01-22,1,AB+,76,87,40,51,38,7,12,0,0,0
2024-01-22,1,AB-,46,46,16,16,15,2,1,0,0,0
2024-01-22,1,O+,16,88,14,86,10,6,12,0,0,1
2024-01-22,1,O-,99,77,53,31,49,9,14,0,0,0
2024-01-23,1,A+,55,97,39,81,35,7,3,0,0,1
2024-01-23,1,A-,33,71,35,73,33,1,10,0,0,1
2024-01-23,1,B+,0,39,31,72,28,4,10,0,0,1
2024-01-23,1,B-,52,72,19,39,17,7,5,0,0,0
2024-01-23,1,AB+,55,46,26,17,23,3,6,0,0,0
2024-01-23,1,AB-,57,38,49,30,49,7,15,0,0,0
2024-01-23,1,O+,35,53,49,67,48,6,10,0,0,1
2024-01-23,1,O-,1,40,35,74,35,7,16,0,0,1
2024-01-24,1,A+,73,90,16,33,13,2,14,0,0,0
2024-01-24,1,A-,118,88,44,14,43,2,1,0,0,0
2024-01-24,1,B+,4,20,21,37,19,1,17,0,0,1
2024-01-24,1,B-,0,23,20,94,18,3,15,0,0,1
2024-01-24,1,AB+,63,75,43,55,42,8,9,0,0,0
2024-01-24,1,AB-,56,71,47,62,43,9,2,0,0,1
2024-01-24,1,O+,40,23,50,33,46,4,3,0,0,0
2024-01-24,1,O-,55,73,26,44,23,1,8,0,0,0
2024-01-25,1,A+,0,37,6,83,3,3,9,0,1,1
2024-01-25,1,A-,0,52,9,68,9,1,9,0,1,1
2024-01-25,1,B+,30,65,6,41,3,7,0,0,1,1
2024-01-25,1,B-,39,65,8,34,5,9,13,0,1,0
2024-01-25,1,AB+,38,79,5,46,5,2,17,0,1,1
2024-01-25,1,AB-,1,23,5,27,3,7,13,0,1,1
2024-01-25,1,O+,0,46,10,80,7,7,4,0,1,1
2024-01-25,1,O-,7,59,6,58,5,8,7,0,1,1
2024-01-26,1,A+,0,32,45,86,42,3,7,1,0,1
2024-01-26,1,A-,31,66,20,55,19,3,15,1,0,1
2024-01-26,1,B+,6,34,36,64,36,4,17,1,0,1
2024-01-26,1,B-,0,24,20,47,16,7,5,1,0,1
2024-01-26,1,AB+,12,45,48,81,44,8,2,1,0,1
2024-01-26,1,AB-,12,85,15,88,11,8,18,1,0,1
2024-01-26,1,O+,13,70,32,89,28,7,11,1,0,1
2024-01-26,1,O-,29,49,38,58,35,7,2,1,0,1
2024-01-27,1,A+,29,44,42,57,38,3,9,1,0,1
2024-01-27,1,A-,46,56,39,49,35,7,13,1,0,1
2024-01-27,1,B+,38,46,32,40,32,5,9,1,0,1
2024-01-27,1,B-,0,22,43,91,39,9,16,1,0,1
2024-01-27,1,AB+,38,74,31,67,30,1,13,1,0,1
2024-01-27,1,AB-,45,98,25,78,24,6,11,1,0,1
2024-01-27,1,O+,0,21,15,60,13,2,14,1,0,1
2024-01-27,1,O-,91,94,28,31,28,3,17,1,0,0
2024-01-28,1,A+,1,40,43,82,41,2,6,1,0,1
2024-01-28,1,A-,36,82,13,59,13,4,2,1,0,1
2024-01-28,1,B+,0,31,32,92,32,4,16,1,0,1
2024-01-28,1,B-,9,43,19,53,16,8,16,1,0,1
2024-01-28,1,AB+,38,34,32,28,28,9,7,1,0,0
2024-01-28,1,AB-,29,33,51,55,48,9,3,1,0,1
2024-01-28,1,O+,0,20,18,52,16,4,3,1,0,1
2024-01-28,1,O-,83,67,35,19,32,3,9,1,0,0
2024-01-29,1,A+,21,61,15,55,13,7,11,0,0,1
2024-01-29,1,A-,41,80,45,84,45,2,7,0,0,1
2024-01-29,1,B+,0,60,22,84,19,2,11,0,0,1
2024-01-29,1,B-,13,61,19,67,16,1,6,0,0,1
2024-01-29,1,AB+,80,98,26,44,23,2,13,0,0,0
2024-01-29,1,AB-,80,64,44,28,43,6,5,0,0,0
2024-01-29,1,O+,20,25,32,37,31,6,16,0,0,1
2024-01-29,1,O-,49,68,49,68,46,4,2,0,0,1
2024-01-30,1,A+,37,65,35,63,31,1,12,0,0,1
2024-01-30,1,A-,0,37,16,53,15,5,6,0,0,1
2024-01-30,1,B+,0,46,27,78,27,2,16,0,0,1
2024-01-30,1,B-,94,84,42,32,41,3,17,0,0,0
2024-01-30,1,AB+,63,53,28,18,28,4,8,0,0,0
2024-01-30,1,AB-,102,91,44,33,44,9,15,0,0,0
2024-01-30,1,O+,62,42,48,28,47,1,17,0,0,0
2024-01-30,1,O-,21,75,24,78,22,2,10,0,0,1
2024-01-31,1,A+,26,76,25,75,22,2,1,0,0,1
2024-01-31,1,A-,10,28,23,41,23,1,3,0,0,1
2024-01-31,1,B+,33,96,13,76,12,2,15,0,0,1
2024-01-31,1,B-,0,51,17,73,15,2,15,0,0,1
2024-01-31,1,AB+,68,78,47,57,45,1,16,0,0,0
2024-01-31,1,AB-,3,36,49,82,48,2,5,0,0,1
2024-01-31,1,O+,79,89,42,52,40,4,9,0,0,0
2024-01-31,1,O-,0,51,16,75,12,7,18,0,0,1
2024-02-01,2,A+,44,93,21,70,20,4,13,0,0,1
2024-02-01,2,A-,11,61,17,67,16,7,0,0,0,1
2024-02-01,2,B+,24,24,28,28,24,6,0,0,0,1
2024-02-01,2,B-,107,97,36,26,34,9,11,0,0,0
2024-02-01,2,AB+,29,34,32,37,28,9,8,0,0,1
2024-02-01,2,AB-,2,72,21,91,17,4,18,0,0,1
2024-02-01,2,O+,61,64,37,40,37,4,19,0,0,0
2024-02-01,2,O-,86,75,38,27,38,2,7,0,0,0
2024-02-02,2,A+,59,69,53,63,49,8,8,1,0,1
2024-02-02,2,A-,3,20,28,45,26,7,13,1,0,1
2024-02-02,2,B+,44,80,43,79,40,4,18,1,0,1
2024-02-02,2,B-,36,54,44,62,40,8,1,1,0,1
2024-02-02,2,AB+,22,25,47,50,45,7,7,1,0,1
2024-02-02,2,AB-,0,30,13,86,12,5,9,1,0,1
2024-02-02,2,O+,79,92,51,64,47,1,12,1,0,0
2024-02-02,2,O-,0,53,14,80,10,8,10,1,0,1
2024-02-03,2,A+,0,20,42,85,39,2,14,1,0,1
2024-02-03,2,A-,63,85,14,36,12,6,4,1,0,0
2024-02-03,2,B+,26,52,42,68,40,9,9,1,0,1
2024-02-03,2,B-,23,31,37,45,37,7,18,1,0,1
2024-02-03,2,AB+,0,37,38,93,34,2,17,1,0,1
2024-02-03,2,AB-,0,31,25,90,25,1,16,1,0,1
2024-02-03,2,O+,47,34,52,39,48,6,19,1,0,0
2024-02-03,2,O-,47,97,14,64,11,6,10,1,0,1
2024-02-04,2,A+,96,90,33,27,31,3,15,1,0,0
2024-02-04,2,A-,67,82,30,45,28,3,5,1,0,0
2024-02-04,2,B+,54,63,39,48,35,1,1,1,0,0
2024-02-04,2,B-,16,52,46,82,44,7,10,1,0,1
2024-02-04,2,AB+,129,95,48,14,47,8,4,1,0,0
2024-02-04,2,AB-,74,96,13,35,13,5,9,1,0,0
2024-02-04,2,O+,0,53,15,71,13,7,3,1,0,1
2024-02-04,2,O-,52,77,36,61,32,2,8,1,0,1
2024-02-05,2,A+,49,42,27,20,26,7,4,0,0,0
2024-02-05,2,A-,0,26,30,71,28,5,19,0,0,1
2024-02-05,2,B+,78,72,50,44,49,7,0,0,0,0
2024-02-05,2,B-,85,97,37,49,33,9,9,0,0,0
2024-02-05,2,AB+,26,44,28,46,24,4,10,0,0,1
2024-02-05,2,AB-,0,63,21,88,17,7,19,0,0,1
2024-02-05,2,O+,0,48,17,81,16,7,8,0,0,1
2024-02-05,2,O-,34,51,48,65,44,9,13,0,0,1
2024-02-06,2,A+,61,78,49,66,47,8,8,0,0,1
2024-02-06,2,A-,3,40,36,73,36,4,18,0,0,1
2024-02-06,2,B+,17,36,30,49,28,2,16,0,0,1
2024-02-06,2,B-,12,52,19,59,18,7,6,0,0,1
2024-02-06,2,AB+,56,66,29,39,28,2,19,0,0,0
2024-02-06,2,AB-,83,94,51,62,47,5,2,0,0,0
2024-02-06,2,O+,25,55,49,79,45,5,19,0,0,1
2024-02-06,2,O-,14,74,12,72,10,7,0,0,0,1
2024-02-07,2,A+,29,85,17,73,17,3,12,0,0,1
2024-02-07,2,A-,0,43,45,88,43,9,13,0,0,1
2024-02-07,2,B+,0,43,17,87,15,6,16,0,0,1
2024-02-07,2,B-,47,86,44,83,44,9,11,0,0,1
2024-02-07,2,AB+,93,86,45,38,45,1,10,0,0,0
2024-02-07,2,AB-,31,67,20,56,16,2,10,0,0,1
2024-02-07,2,O+,87,88,40,41,36,5,15,0,0,0
2024-02-07,2,O-,51,37,43,29,39,5,18,0,0,0
2024-02-08,2,A+,102,95,25,18,24,8,6,0,0,0
2024-02-08,2,A-,12,31,44,63,44,6,18,0,0,1
2024-02-08,2,B+,31,80,35,84,32,7,9,0,0,1
2024-02-08,2,B-,66,76,47,57,47,5,16,0,0,0
2024-02-08,2,AB+,68,50,48,30,48,9,10,0,0,0
2024-02-08,2,AB-,0,42,28,76,24,1,8,0,0,1
2024-02-08,2,O+,64,68,52,56,49,2,5,0,0,0
2024-02-08,2,O-,0,24,12,71,11,3,2,0,0,1
2024-02-09,2,A+,57,82,35,60,33,5,19,1,0,1
2024-02-09,2,A-,63,67,47,51,43,5,11,1,0,0
2024-02-09,2,B+,42,76,18,52,15,7,15,1,0,1
2024-02-09,2,B-,51,82,13,44,12,7,18,1,0,0
2024-02-09,2,AB+,23,56,18,51,17,4,14,1,0,1
2024-02-09,2,AB-,27,76,16,65,13,8,8,1,0,1
2024-02-09,2,O+,63,87,29,53,27,1,5,1,0,0
2024-02-09,2,O-,0,24,39,78,38,6,7,1,0,1
2024-02-10,2,A+,23,34,18,29,18,8,13,1,0,1
2024-02-10,2,A-,51,51,18,18,16,8,2,1,0,0
2024-02-10,2,B+,47,68,40,61,40,9,13,1,0,1
2024-02-10,2,B-,26,48,44,66,44,2,14,1,0,1
2024-02-10,2,AB+,35,32,19,16,16,9,0,1,0,0
2024-02-10,2,AB-,72,87,42,57,42,3,11,1,0,0
2024-02-10,2,O+,11,74,27,90,23,9,13,1,0,1
2024-02-10,2,O-,24,42,20,38,17,3,18,1,0,1
2024-02-11,2,A+,31,35,24,28,20,6,5,1,0,0
2024-02-11,2,A-,9,28,42,61,38,2,15,1,0,1
2024-02-11,2,B+,0,21,42,74,40,6,15,1,0,1
2024-02-11,2,B-,52,91,14,53,13,6,1,1,0,1
2024-02-11,2,AB+,0,24,23,50,20,5,16,1,0,1
2024-02-11,2,AB-,10,47,39,76,38,5,4,1,0,1
2024-02-11,2,O+,0,29,23,92,21,5,16,1,0,1
2024-02-11,2,O-,30,30,37,37,34,5,0,1,0,1
2024-02-12,2,A+,43,52,39,48,38,6,2,0,0,1
2024-02-12,2,A-,0,40,17,73,17,4,10,0,0,1
2024-02-12,2,B+,93,91,26,24,22,7,3,0,0,0
2024-02-12,2,B-,0,65,17,88,14,3,11,0,0,1
2024-02-12,2,AB+,13,32,29,48,27,5,19,0,0,1
2024-02-12,2,AB-,12,55,15,58,15,6,19,0,0,1
2024-02-12,2,O+,84,94,45,55,43,5,8,0,0,0
2024-02-12,2,O-,54,76,44,66,42,1,7,0,0,1
2024-02-13,2,A+,38,38,44,44,40,6,19,0,0,1
2024-02-13,2,A-,75,77,32,34,32,7,17,0,0,0
2024-02-13,2,B+,106,98,30,22,26,7,11,0,0,0
2024-02-13,2,B-,42,39,21,18,20,8,5,0,0,0
2024-02-13,2,AB+,62,77,27,42,27,6,2,0,0,0
2024-02-13,2,AB-,30,38,38,46,36,2,18,0,0,1
2024-02-13,2,O+,20,45,13,38,10,4,7,0,0,1
2024-02-13,2,O-,16,58,35,77,33,5,18,0,0,1
2024-02-14,2,A+,45,50,49,54,45,4,13,0,0,1
2024-02-14,2,A-,18,34,48,64,46,3,18,0,0,1
2024-02-14,2,B+,23,56,23,56,22,4,1,0,0,1
2024-02-14,2,B-,55,94,27,66,26,2,19,0,0,1
2024-02-14,2,AB+,44,45,23,24,23,5,3,0,0,0
2024-02-14,2,AB-,113,96,46,29,46,6,14,0,0,0
2024-02-14,2,O+,55,97,27,69,24,7,17,0,0,1
2024-02-14,2,O-,26,33,25,32,22,6,0,0,0,1
2024-02-15,2,A+,58,97,26,65,24,1,15,0,0,1
2024-02-15,2,A-,71,81,44,54,40,6,11,0,0,0
2024-02-15,2,B+,102,74,47,19,45,3,1,0,0,0
2024-02-15,2,B-,74,87,31,44,31,7,6,0,0,0
2024-02-15,2,AB+,45,79,10,44,10,9,9,0,0,0
2024-02-15,2,AB-,17,87,22,92,22,4,19,0,0,1
2024-02-15,2,O+,32,80,33,81,33,8,13,0,0,1
2024-02-15,2,O-,20,27,31,38,30,4,1,0,0,1
2024-02-16,2,A+,76,95,18,37,15,8,13,1,0,0
2024-02-16,2,A-,19,59,23,63,21,1,15,1,0,1
2024-02-16,2,B+,37,37,33,33,31,4,16,1,0,0
2024-02-16,2,B-,55,91,50,86,49,9,13,1,0,1
2024-02-16,2,AB+,39,60,41,62,39,7,9,1,0,1
2024-02-16,2,AB-,52,68,45,61,43,1,6,1,0,1
2024-02-16,2,O+,56,55,16,15,12,9,3,1,0,0
2024-02-16,2,O-,56,67,33,44,30,8,12,1,0,0
2024-02-17,2,A+,9,62,26,79,23,9,17,1,0,1
2024-02-17,2,A-,31,50,25,44,25,7,11,1,0,1
2024-02-17,2,B+,0,27,26,74,25,8,18,1,0,1
2024-02-17,2,B-,0,27,11,59,11,7,17,1,0,1
2024-02-17,2,AB+,69,80,39,50,39,5,3,1,0,0
2024-02-17,2,AB-,21,52,23,54,19,5,16,1,0,1
2024-02-17,2,O+,58,80,47,69,46,2,13,1,0,1
2024-02-17,2,O-,57,79,30,52,30,1,10,1,0,0
2024-02-18,2,A+,17,60,30,73,26,1,4,1,0,1
2024-02-18,2,A-,112,88,48,24,46,9,4,1,0,0
2024-02-18,2,B+,54,49,44,39,42,6,6,1,0,0
2024-02-18,2,B-,0,36,23,66,19,6,9,1,0,1
2024-02-18,2,AB+,42,83,48,89,45,5,19,1,0,1
2024-02-18,2,AB-,7,29,13,35,11,5,17,1,0,1
2024-02-18,2,O+,47,63,22,38,22,4,4,1,0,0
2024-02-18,2,O-,0,40,18,77,14,2,2,1,0,1
2024-02-19,2,A+,40,59,19,38,18,3,12,0,0,0
2024-02-19,2,A-,100,94,39,33,37,4,1,0,0,0
2024-02-19,2,B+,14,59,23,68,20,2,11,0,0,1
2024-02-19,2,B-,78,60,50,32,49,8,0,0,0,0
2024-02-19,2,AB+,0,30,33,67,30,3,4,0,0,1
2024-02-19,2,AB-,74,74,19,19,17,3,0,0,0,0
2024-02-19,2,O+,48,97,13,62,10,3,15,0,0,1
2024-02-19,2,O-,17,69,44,96,43,2,18,0,0,1
2024-02-20,2,A+,49,28,36,15,35,9,0,0,0,0
2024-02-20,2,A-,0,62,12,93,12,6,15,0,0,1
2024-02-20,2,B+,21,52,46,77,45,6,8,0,0,1
2024-02-20,2,B-,47,44,33,30,31,3,14,0,0,0
2024-02-20,2,AB+,97,96,42,41,42,6,6,0,0,0
2024-02-20,2,AB-,70,98,36,64,33,4,0,0,0,0
2024-02-20,2,O+,5,76,19,90,17,7,15,0,0,1
2024-02-20,2,O-,23,29,35,41,32,2,13,0,0,1
2024-02-21,2,A+,65,70,29,34,29,6,18,0,0,0
2024-02-21,2,A-,59,65,19,25,15,3,11,0,0,0
2024-02-21,2,B+,0,28,12,52,11,5,11,0,0,1
2024-02-21,2,B-,19,78,15,74,12,1,13,0,0,1
2024-02-21,2,AB+,16,52,15,51,15,7,15,0,0,1
2024-02-21,2,AB-,40,77,27,64,27,7,10,0,0,1
2024-02-21,2,O+,37,73,40,76,38,7,1,0,0,1
2024-02-21,2,O-,67,96,42,71,38,5,16,0,0,1
2024-02-22,2,A+,74,97,30,53,29,8,7,0,0,0
2024-02-22,2,A-,37,43,31,37,28,4,18,0,0,0
2024-02-22,2,B+,31,71,46,86,44,2,18,0,0,1
2024-02-22,2,B-,0,53,16,70,16,3,8,0,0,1
2024-02-22,2,AB+,46,85,46,85,44,9,15,0,0,1
2024-02-22,2,AB-,62,49,47,34,45,3,5,0,0,0
2024-02-22,2,O+,25,29,36,40,32,4,9,0,0,1
2024-02-22,2,O-,106,90,29,13,29,1,2,0,0,0
2024-02-23,2,A+,50,78,46,74,45,9,13,1,0,1
2024-02-23,2,A-,65,99,32,66,31,3,4,1,0,1
2024-02-23,2,B+,59,79,23,43,19,5,9,1,0,0
2024-02-23,2,B-,62,58,42,38,39,6,1,1,0,0
2024-02-23,2,AB+,0,45,14,97,13,7,18,1,0,1
2024-02-23,2,AB-,38,89,38,89,37,4,14,1,0,1
